#,Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
83,2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.211,0.215,0.216,0.214,0.214,0.214,0.214,1.07
1,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,1.302,1.111,1.045,1.118,1.046,1.1244,1.111,5.622
67,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,3.99,3.692,3.467,3.478,3.468,3.619,3.478,18.095
27,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,5.055,4.998,5.017,5.012,5.251,5.0666,5.017,25.333
40,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,5.699,5.659,5.676,5.661,5.666,5.6722,5.666,28.361
53,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,6.296,5.845,5.823,5.841,5.816,5.9242,5.841,29.621
14,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::ifstream,5.886,5.867,5.877,5.833,5.825,5.8576,5.867,29.288
7,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),0.756,0.761,0.765,0.771,0.76,0.7626,0.761,3.813
73,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),2.325,2.312,2.32,2.324,2.32,2.3202,2.32,11.601
46,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),2.736,2.701,2.687,2.683,2.686,2.6986,2.687,13.493
