Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.682618,0.676094,0.668122,0.66884,0.679564,0.675048,0.676094,3.37524
-----,-----,-----,-----,-----,Format definition is now defined at compile time.,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.215475,0.211903,0.215872,0.211104,0.210518,0.212974,0.211903,1.06487
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.634938,0.627392,0.618635,0.624213,0.631919,0.62742,0.627392,3.1371
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.19183,0.198136,0.197283,0.197975,0.196548,0.196354,0.197283,0.981772
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.27236,1.27798,1.27337,1.27505,1.29568,1.27889,1.27505,6.39444
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.773206,0.777299,0.775197,0.775678,0.775707,0.775417,0.775678,3.87709
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.431801,0.425883,0.424029,0.428599,0.429988,0.42806,0.428599,2.1403
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.325948,0.329638,0.331037,0.330151,0.323856,0.328126,0.329638,1.64063
2017-10-09,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.684873,0.675182,0.683236,0.685869,0.679191,0.68167,0.683236,3.40835
